stem,term_id,n_tokens,n_docs,pos_mode,pos_coarse,example_word,tf,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
machineri,4220,10,3,NN,NOUN,machinery,2.930334233922721e-05,3,0.12493873660829993,3.8859885883566545e-06,1.1657965765069963e-05,3.8099209163022576e-06,6.549318883254874e-06
pool,4221,10,2,NNS,NOUN,pools,2.930334233922721e-05,2,0.3010299956639812,1.5228761185020248e-05,3.0457522370040496e-05,1.5228761185020248e-05,2.816259665674817e-05
mistaken,4222,10,4,VBN,VERB,mistaken,2.930334233922721e-05,4,0.0,,0.0,,0.0
gourd,4223,10,2,JJ,ADJ,gourd,2.930334233922721e-05,2,0.3010299956639812,1.189175441296815e-05,2.37835088259363e-05,1.189175441296815e-05,2.065433141963095e-05
parley,4224,10,3,NN,NOUN,parley,2.930334233922721e-05,3,0.12493873660829993,3.5893069493783254e-06,1.0767920848134976e-05,3.896177896538496e-06,5.714881374453386e-06
lover,4225,10,3,NN,NOUN,lovers,2.930334233922721e-05,3,0.12493873660829993,3.4984432941778815e-06,1.0495329882533645e-05,3.4705847314292836e-06,5.714881374453386e-06
regularli,4226,10,3,RB,ADV,regularly,2.930334233922721e-05,3,0.12493873660829993,3.935552685815593e-06,1.1806658057446779e-05,2.857440687226693e-06,7.792355793076991e-06
knife,4227,10,4,NN,NOUN,knife,2.930334233922721e-05,4,0.0,,0.0,,0.0
shaman,4228,10,2,NNP,NOUN,Shamanism,2.930334233922721e-05,2,0.3010299956639812,1.3977383645500712e-05,2.7954767291001423e-05,1.3977383645500712e-05,1.8775064437832114e-05
shaft,4229,10,3,NN,NOUN,shaft,2.930334233922721e-05,3,0.12493873660829993,3.7728493108799246e-06,1.1318547932639774e-05,3.8099209163022576e-06,5.1949038620513275e-06
mint,4230,10,2,NN,NOUN,mint,2.930334233922721e-05,2,0.3010299956639812,1.3196803301016414e-05,2.639360660203283e-05,1.3196803301016414e-05,1.3769554279753966e-05
formul,4231,10,4,VBN,VERB,formulated,2.930334233922721e-05,4,0.0,,0.0,,0.0
otori,4232,10,2,NNP,NOUN,Otori,2.930334233922721e-05,2,0.3010299956639812,1.5659304868658944e-05,3.131860973731789e-05,1.5659304868658944e-05,2.816259665674817e-05
signifi,4233,10,3,VB,VERB,signify,2.930334233922721e-05,3,0.12493873660829993,3.6477328899730473e-06,1.0943198669919142e-05,3.929591329952925e-06,5.714881374453386e-06
pretenc,4234,10,3,NN,NOUN,pretence,2.930334233922721e-05,3,0.12493873660829993,4.239659532219351e-06,1.2718978596658051e-05,2.5974519310256637e-06,9.169046436556823e-06
ostens,4235,10,4,RB,ADV,ostensibly,2.930334233922721e-05,4,0.0,,0.0,,0.0
seventeenth,4236,10,4,JJ,ADJ,seventeenth,2.930334233922721e-05,4,0.0,,0.0,,0.0
pom,4237,10,2,NNP,NOUN,Pom,2.930334233922721e-05,2,0.3010299956639812,1.3143131952487688e-05,2.6286263904975376e-05,1.3143131952487688e-05,1.3769554279753966e-05
roadsid,4238,10,2,NN,NOUN,roadside,2.930334233922721e-05,2,0.3010299956639812,1.4394509492007224e-05,2.878901898401445e-05,1.4394509492007224e-05,2.1904241844137465e-05
ordinarili,4239,10,4,RB,ADV,ordinarily,2.930334233922721e-05,4,0.0,,0.0,,0.0
loudli,4240,10,3,RB,ADV,loudly,2.930334233922721e-05,3,0.12493873660829993,4.052782982395393e-06,1.215834894718618e-05,2.6197275533019494e-06,6.941169462858567e-06
proposit,4241,10,2,NN,NOUN,proposition,2.930334233922721e-05,2,0.3010299956639812,1.2213289585367123e-05,2.4426579170734246e-05,1.2213289585367123e-05,1.6064479993046294e-05
persimmon,4242,10,2,NNS,NOUN,persimmons,2.930334233922721e-05,2,0.3010299956639812,1.4394509492007224e-05,2.878901898401445e-05,1.4394509492007224e-05,2.1904241844137465e-05
disagre,4243,10,3,JJ,ADJ,disagreeable,2.930334233922721e-05,3,0.12493873660829993,4.10568126817669e-06,1.2317043804530069e-05,2.6197275533019494e-06,7.792355793076991e-06
exit,4244,10,3,NN,NOUN,exit,2.930334233922721e-05,3,0.12493873660829993,3.5893069493783254e-06,1.0767920848134976e-05,3.896177896538496e-06,5.714881374453386e-06
timid,4245,10,4,JJ,ADJ,timid,2.930334233922721e-05,4,0.0,,0.0,,0.0
adequ,4246,10,2,JJ,ADJ,adequate,2.930334233922721e-05,2,0.3010299956639812,1.5349521719209885e-05,3.069904343841977e-05,1.5349521719209885e-05,2.840411772512744e-05
vote,4247,10,4,NN,NOUN,vote,2.930334233922721e-05,4,0.0,,0.0,,0.0
chancellor,4248,10,2,NNP,NOUN,Chancellor,2.930334233922721e-05,2,0.3010299956639812,1.5304076017784062e-05,3.0608152035568125e-05,1.5304076017784062e-05,2.503341925044282e-05
challeng,4249,10,4,NN,NOUN,challenge,2.930334233922721e-05,4,0.0,,0.0,,0.0
fare,4250,10,4,NN,NOUN,fare,2.930334233922721e-05,4,0.0,,0.0,,0.0
unmarri,4251,10,3,JJ,ADJ,unmarried,2.930334233922721e-05,3,0.12493873660829993,3.8882645563590135e-06,1.166479366907704e-05,2.857440687226693e-06,6.4936298275641585e-06
