book_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,author,stance,nationality,visited
52127,-0.876917727594216,-0.02961229616246469,-0.0282024105859973,-1.6733982229872382e-19,4.611906360438497e-19,-4.2265600299032515e-19,-1.107340417045239e-19,1.993841851474055e-19,-1.3581688098139195e-19,5.08776471901155e-19,Hulbert,pro-korean,American,True
67141,0.2539054562079937,0.7275207941777959,0.3210824982746681,1.1021267560822456e-18,3.1884742295765856e-19,4.588303877589822e-19,-2.3094625055529203e-19,9.677527157316696e-19,5.601894631379682e-19,-1.3734278238432131e-18,Griffis,exotic-neutral,American,False
69300,0.2992669762049115,-0.6232268689723723,0.467239665359156,-1.646737389707713e-20,2.115774089628576e-19,-2.604856956245126e-19,-5.28746525342097e-19,-1.0025173341822826e-18,-3.596185608308488e-19,6.599191709216933e-19,Bishop,sympathetic-traveler,British,True
73071,0.32374529518131007,-0.07468162904295884,-0.7601197530478264,1.494823964078972e-18,-8.31509207682862e-19,-3.515465126657963e-19,1.6484935194604661e-19,-1.0048430558095348e-18,8.543530690198015e-19,-4.597894979948043e-19,Ladd,pro-japanese,American,True
